name,vicinity,rue,lat,lon,ranking,rating,user_ratings_total,sum_ratings,score,rating_cat,user_ratings_total_cat,rating_cat_lbl,user_ratings_total_cat_lbl,types,restaurant,food,point_of_interest,establishment,bar,bakery,liquor_store,store,meal_takeaway,cafe,meal_delivery,spa,lodging,grocery_or_supermarket,night_club,supermarket,convenience_store
Saïko Chicken,"8 Rue du Vieux-Marché-aux-Vins, Strasbourg","Rue du Vieux-Marché-aux-Vins,",48.5835474,7.7409928,554,4.0,269,1076,25.71900912000963,2,6,"(3.9, 4.1]","(248.0, 347.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bierstub Chez Camille,"26 Rue de la Fonderie, Strasbourg","Rue de la Fonderie,",48.5854454,7.750272499999998,556,4.1,144,590,25.659286217590523,2,4,"(3.9, 4.1]","(128.2, 184.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brasserie au Tribunal,"6 Quai Finkmatt, Strasbourg","Quai Finkmatt,",48.5874144,7.747700399999998,557,4.1,142,582,25.634382211970525,2,4,"(3.9, 4.1]","(128.2, 184.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Café JF,"1 Avenue du Général de Gaulle, Strasbourg","Avenue du Général de Gaulle,",48.58061910000001,7.770177500000001,558,4.3,45,193,25.598813809233977,4,2,"(4.2, 4.3]","(36.6, 78.0]","['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
La Stub,"4 Rue du Saumon, Strasbourg","Rue du Saumon,",48.5823798,7.746511399999999,559,3.9,458,1786,25.587375364215088,1,7,"(3.6, 3.9]","(347.0, 498.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Seven,"7 Place de l'esplanade, Strasbourg","Place de l'esplanade,",48.576879,7.768024,560,4.4,26,114,25.585882731071603,5,1,"(4.3, 4.4]","(8.8, 36.6]","['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
One Street burgers,"49 Rue Finkwiller, Strasbourg","Rue Finkwiller,",48.5789617,7.743045400000002,561,4.0,248,992,25.577806723304867,2,5,"(3.9, 4.1]","(184.0, 248.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Carrefour City Strasbourg 1st Army,"29 Rue de la 1ère Armée, Strasbourg","Rue de la 1ère Armée,",48.57688750000001,7.752185099999998,562,4.0,246,984,25.563740428413517,2,5,"(3.9, 4.1]","(184.0, 248.0]","['supermarket', 'bakery', 'grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0
La Corne D'Or,"17 Rue de l'Ail, Strasbourg","Rue de l'Ail,",48.5798418,7.7481575,563,4.0,239,956,25.51359160379255,2,5,"(3.9, 4.1]","(184.0, 248.0]","['restaurant', 'bar', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Les Saveurs du Midi,"28 Grand'Rue, Strasbourg","Grand'Rue,",48.5824782,7.740249599999999,564,4.1,132,541,25.50435311794398,2,4,"(3.9, 4.1]","(128.2, 184.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
