name,vicinity,rue,lat,lon,ranking,rating,user_ratings_total,sum_ratings,score,rating_cat,user_ratings_total_cat,rating_cat_lbl,user_ratings_total_cat_lbl,types,restaurant,food,point_of_interest,establishment,bakery,cafe,store,meal_takeaway,bar,liquor_store,grocery_or_supermarket,night_club,meal_delivery,book_store,movie_theater,tourist_attraction,lodging,school,parking,travel_agency,real_estate_agency,general_contractor,supermarket,gas_station,car_wash,convenience_store
eat SUSHI Toulouse (Saint-Cyprien),"2 Place Intérieure Saint-Cyprien, Toulouse",Place Intérieure Saint-Cyprien,43.59764699999999,1.431621,1679,3.7,269,995,22.680083436008914,1,6,"(3.6, 4.0]","(195.0, 283.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Grande Gourmandise,"La Grande Gourmandise, 54 bis Rue d'Alsace Lorraine, Toulouse",Grande Gourmandise 54 bis Rue d'Alsace Lorraine,43.60764069999999,1.4458823,1681,3.8,146,554,22.66454085198086,1,5,"(3.6, 4.0]","(133.5, 195.0]","['cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ô My Wok,"21 Rue des Tourneurs, Toulouse",Rue des Tourneurs,43.6000663,1.4450193,1682,3.8,144,547,22.641777469961944,1,5,"(3.6, 4.0]","(133.5, 195.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McDonald's Toulouse Kœnigs,"Boulevard Gabriel Koenigs, Toulouse",Gabriel Koenigs,43.59481209999999,1.4189016,1684,3.4,1796,6106,22.62464152992637,0,9,"(0.0, 3.6]","(667.0, inf]","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Van Gogh,"21 Place Saint-Georges, Toulouse",Place Saint-Georges,43.60175779999999,1.4480724,1686,3.7,249,921,22.555937584254227,1,6,"(3.6, 4.0]","(195.0, 283.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domino's Pizza Toulouse - Lascrosses,"3 Boulevard Lascrosses, Toulouse",Boulevard Lascrosses,43.6111728,1.4383157,1688,3.7,245,906,22.52991451214877,1,6,"(3.6, 4.0]","(195.0, 283.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Bangalore,"39 Rue de la Colombette, Toulouse",Rue de la Colombette,43.604467,1.453711,1690,3.9,74,288,22.500003706950807,1,3,"(3.6, 4.0]","(48.0, 86.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Les 2 Pachas,"19 Rue Castellane, Toulouse",Rue Castellane,43.60587,1.4503292,1691,4.1,24,98,22.46886609101758,2,2,"(4.0, 4.1]","(22.0, 48.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dream India,"7 Rue des Gestes, Toulouse",Rue des Gestes,43.6030556,1.4427778,1692,3.7,235,869,22.462951090405426,1,6,"(3.6, 4.0]","(195.0, 283.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Café Italien,"9 Bis Place des Carmes, Toulouse",Bis Place des Carmes,43.597632,1.444233,1694,3.7,233,862,22.44921690779627,1,6,"(3.6, 4.0]","(195.0, 283.0]","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Patio du Plaza,"7 Place du Capitole, Toulouse",Place du Capitole,43.6037699,1.4431064,1695,4.3,8,34,22.373286944065356,3,1,"(4.1, 4.3]","(7.0, 22.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA LOGE,"2 Place des Carmes, Toulouse",Place des Carmes,43.59789250000001,1.4446598,1697,3.8,122,463,22.368167356564044,1,4,"(3.6, 4.0]","(86.0, 133.5]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
